   Size(K) ModuleName                                         FileName
       192 Wldp.dll                                           C:\Windows\SYSTEM32\Wldp.dll
       468 resourcesystem.dll                                 S:\Games\Counter-Strike 2\bin\win64\resourcesystem.dll
       292 schemasystem.dll                                   S:\Games\Counter-Strike 2\bin\win64\schemasystem.dll
       196 cryptnet.dll                                       C:\Windows\SYSTEM32\cryptnet.dll
      1312 drvstore.dll                                       C:\Windows\SYSTEM32\drvstore.dll
        96 CRYPTSP.dll                                        C:\Windows\SYSTEM32\CRYPTSP.dll
       208 rsaenh.dll                                         C:\Windows\system32\rsaenh.dll
      2884 nvspcap64.dll                                      C:\Windows\system32\nvspcap64.dll
       124 profapi.dll                                        C:\Windows\SYSTEM32\profapi.dll
        32 NSI.dll                                            C:\Windows\System32\NSI.dll
       116 dhcpcsvc.DLL                                       C:\Windows\SYSTEM32\dhcpcsvc.DLL
       236 dxcore.dll                                         C:\Windows\SYSTEM32\dxcore.dll
      7892 nvapi64.dll                                        C:\Windows\system32\nvapi64.dll
      9848 nvcuda64.dll                                       C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_5a1db089dddab6b2\nvcuda64.dll
       576 apphelp.dll                                        C:\Windows\SYSTEM32\apphelp.dll
       756 nvldumdx.dll                                       C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_5a1db089dddab6b2\nvldumdx.dll
     86532 nvwgf2umx.dll                                      C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_5a1db089dddab6b2\nvwgf2umx.dll
      8524 NvCamera64.dll                                     C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_5a1db089dddab6b2\NvCamera\NvCamera64...
        28 XINPUT9_1_0.dll                                    C:\Windows\SYSTEM32\XINPUT9_1_0.dll
      1744 WindowsCodecs.dll                                  C:\Windows\SYSTEM32\WindowsCodecs.dll
      7388 MessageBus.dll                                     C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_5a1db089dddab6b2\Display.NvContainer...
      4112 d3dcompiler_47_64.dll                              C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_5a1db089dddab6b2\NvCamera\d3dcompile...
      1104 MSCTF.dll                                          C:\Windows\System32\MSCTF.dll
       996 textinputframework.dll                             C:\Windows\SYSTEM32\textinputframework.dll
      1164 materialsystem2.dll                                S:\Games\Counter-Strike 2\bin\win64\materialsystem2.dll
       532 MMDevApi.dll                                       C:\Windows\System32\MMDevApi.dll
      1544 AUDIOSES.DLL                                       C:\Windows\SYSTEM32\AUDIOSES.DLL
       300 powrprof.dll                                       C:\Windows\SYSTEM32\powrprof.dll
        72 UMPDC.dll                                          C:\Windows\SYSTEM32\UMPDC.dll
      1284 Windows.UI.dll                                     C:\Windows\System32\Windows.UI.dll
       644 WindowManagementAPI.dll                            C:\Windows\System32\WindowManagementAPI.dll
      2048 twinapi.appcore.dll                                C:\Windows\SYSTEM32\twinapi.appcore.dll
      7388 MessageBus.dll                                     C:\Program Files\NVIDIA Corporation\NvContainer\MessageBus.dll
      1220 meshsystem.dll                                     S:\Games\Counter-Strike 2\bin\win64\meshsystem.dll
      1376 worldrenderer.dll                                  S:\Games\Counter-Strike 2\bin\win64\worldrenderer.dll
      1304 vscript.dll                                        S:\Games\Counter-Strike 2\bin\win64\vscript.dll
      2500 networksystem.dll                                  S:\Games\Counter-Strike 2\bin\win64\networksystem.dll
     10568 animationsystem.dll                                S:\Games\Counter-Strike 2\bin\win64\animationsystem.dll
      3680 vphysics2.dll                                      S:\Games\Counter-Strike 2\bin\win64\vphysics2.dll
      2652 soundsystem.dll                                    S:\Games\Counter-Strike 2\bin\win64\soundsystem.dll
       220 steamaudio.dll                                     S:\Games\Counter-Strike 2\bin\win64\steamaudio.dll
     29480 phonon.dll                                         S:\Games\Counter-Strike 2\bin\win64\phonon.dll
      6160 scenesystem.dll                                    S:\Games\Counter-Strike 2\bin\win64\scenesystem.dll
      4680 particles.dll                                      S:\Games\Counter-Strike 2\bin\win64\particles.dll
      2832 panoramauiclient.dll                               S:\Games\Counter-Strike 2\bin\win64\panoramauiclient.dll
      5720 video64.dll                                        S:\Games\Counter-Strike 2\bin\win64\video64.dll
       760 libavresample-4.dll                                S:\Games\Counter-Strike 2\bin\win64\libavresample-4.dll
      1512 libavformat-58.dll                                 S:\Games\Counter-Strike 2\bin\win64\libavformat-58.dll
      4076 libavutil-56.dll                                   S:\Games\Counter-Strike 2\bin\win64\libavutil-56.dll
      1312 libswscale-5.dll                                   S:\Games\Counter-Strike 2\bin\win64\libswscale-5.dll
        36 WSOCK32.dll                                        C:\Windows\SYSTEM32\WSOCK32.dll
      7008 libavcodec-58.dll                                  S:\Games\Counter-Strike 2\bin\win64\libavcodec-58.dll
     40760 v8.dll                                             S:\Games\Counter-Strike 2\bin\win64\v8.dll
      1600 v8_libbase.dll                                     S:\Games\Counter-Strike 2\bin\win64\v8_libbase.dll
       840 v8_zlib.dll                                        S:\Games\Counter-Strike 2\bin\win64\v8_zlib.dll
      2760 icuuc.dll                                          S:\Games\Counter-Strike 2\bin\win64\icuuc.dll
      3820 icui18n.dll                                        S:\Games\Counter-Strike 2\bin\win64\icui18n.dll
      5404 panorama.dll                                       S:\Games\Counter-Strike 2\bin\win64\panorama.dll
      2900 panorama_text_pango.dll                            S:\Games\Counter-Strike 2\bin\win64\panorama_text_pango.dll
       496 libfontconfig-1.dll                                S:\Games\Counter-Strike 2\bin\win64\libfontconfig-1.dll
       404 libpango-1.0-0.dll                                 S:\Games\Counter-Strike 2\bin\win64\libpango-1.0-0.dll
       396 libpangoft2-1.0-0.dll                              S:\Games\Counter-Strike 2\bin\win64\libpangoft2-1.0-0.dll
      1056 libfreetype-6.dll                                  S:\Games\Counter-Strike 2\bin\win64\libfreetype-6.dll
       100 USP10.dll                                          C:\Windows\SYSTEM32\USP10.dll
       340 libgobject-2.0-0.dll                               S:\Games\Counter-Strike 2\bin\win64\libgobject-2.0-0.dll
      1528 libglib-2.0-0.dll                                  S:\Games\Counter-Strike 2\bin\win64\libglib-2.0-0.dll
       108 libgmodule-2.0-0.dll                               S:\Games\Counter-Strike 2\bin\win64\libgmodule-2.0-0.dll
